,giorno,ndosi,second_doses,stock_values
1,1,0,0.0,0.0
2,2,0,0.0,0.0
3,3,0,0.0,0.0
4,4,0,0.0,0.0
5,5,0,0.0,0.0
6,6,0,0.0,0.0
7,7,0,0.0,0.0
8,8,0,0.0,0.0
9,9,9996859,0.0,4999958.0
10,10,10004497,0.0,5003573.0
11,11,0,0.0,5003573.0
12,12,0,0.0,5003573.0
13,13,0,0.0,5003573.0
14,14,0,0.0,5003573.0
15,15,9995291,0.0,14998864.0
16,16,0,0.0,14998864.0
17,17,0,0.0,5007740.0
18,18,0,0.0,5007740.0
19,19,0,0.0,5007740.0
20,20,0,0.0,5007740.0
21,21,0,0.0,0.0
22,22,9993330,0.0,4996886.0
23,23,0,0.0,4996886.0
24,24,0,0.0,4996886.0
25,25,10001370,0.0,4996901.0
26,26,0,0.0,4996901.0
27,27,0,0.0,4996901.0
28,28,0,0.0,4996901.0
29,29,0,0.0,4996901.0
30,30,0,4996901.0,0.0
31,31,10000882,10000882.0,0.0
32,32,0,0.0,0.0
33,33,0,0.0,0.0
34,34,0,0.0,0.0
35,35,0,0.0,0.0
36,36,0,0.0,0.0
37,37,0,0.0,0.0
38,38,9993826,9991124.0,0.0
39,39,0,0.0,0.0
40,40,10000049,0.0,0.0
41,41,0,0.0,0.0
42,42,10004184,5007740.0,4996444.0
43,43,0,4996444.0,0.0
44,44,0,0.0,0.0
45,45,0,0.0,0.0
46,46,10001355,10001355.0,0.0
47,47,0,0.0,0.0
48,48,0,0.0,0.0
49,49,0,0.0,0.0
50,50,0,0.0,0.0
51,51,0,0.0,0.0
52,52,0,0.0,0.0
53,53,10002751,0.0,10002751.0
54,54,0,0.0,10002751.0
55,55,0,0.0,10002751.0
56,56,0,0.0,10002751.0
57,57,0,0.0,10002751.0
58,58,0,0.0,10002751.0
59,59,0,2702.0,10000049.0
60,60,0,0.0,10000049.0
61,61,0,10000049.0,0.0
62,62,0,0.0,0.0
63,63,0,0.0,0.0
64,64,0,0.0,0.0
65,65,0,0.0,0.0
66,66,0,0.0,0.0
67,67,0,0.0,0.0
68,68,0,0.0,0.0
69,69,0,0.0,0.0
70,70,0,0.0,0.0
71,71,0,0.0,0.0
72,72,0,0.0,0.0
73,73,0,0.0,0.0
74,74,0,0.0,0.0
75,75,0,0.0,0.0
76,76,0,0.0,0.0
77,77,0,0.0,0.0
78,78,0,0.0,0.0
79,79,0,0.0,0.0
80,80,0,0.0,0.0
81,81,0,0.0,0.0
82,82,0,0.0,0.0
83,83,0,0.0,0.0
84,84,0,0.0,0.0
85,85,0,0.0,0.0
86,86,0,0.0,0.0
87,87,0,0.0,0.0
88,88,0,0.0,0.0
89,89,0,0.0,0.0
90,90,0,0.0,0.0
91,91,0,0.0,0.0
92,92,0,0.0,0.0
93,93,0,0.0,0.0
94,94,0,0.0,0.0
95,95,0,0.0,0.0
96,96,9996525,0.0,0.0
97,97,0,0.0,0.0
98,98,0,0.0,0.0
99,99,0,0.0,0.0
100,100,0,0.0,0.0
101,101,0,0.0,0.0
102,102,0,0.0,0.0
103,103,0,0.0,0.0
104,104,0,0.0,0.0
105,105,10001262,0.0,0.0
106,106,0,0.0,0.0
107,107,0,0.0,0.0
108,108,9994103,0.0,4996455.0
109,109,0,0.0,4996455.0
110,110,0,0.0,4996455.0
111,111,9996793,0.0,14993248.0
112,112,0,0.0,14993248.0
113,113,10004547,0.0,24997795.0
114,114,0,0.0,14999319.0
115,115,0,0.0,14999319.0
116,116,0,0.0,14999319.0
117,117,0,9996525.0,5002794.0
118,118,0,0.0,5002794.0
119,119,0,0.0,5002794.0
120,120,0,0.0,5002794.0
121,121,0,0.0,5002794.0
122,122,0,0.0,5002794.0
123,123,9996116,0.0,14998910.0
124,124,0,0.0,14998910.0
125,125,0,0.0,14998910.0
126,126,0,10001262.0,4997648.0
127,127,0,0.0,4997648.0
128,128,0,0.0,4997648.0
129,129,0,4997648.0,0.0
130,130,0,0.0,0.0
131,131,0,0.0,0.0
132,132,0,0.0,0.0
133,133,0,0.0,0.0
134,134,0,0.0,0.0
135,135,9998476,9998476.0,0.0
136,136,0,0.0,0.0
137,137,0,0.0,0.0
138,138,0,0.0,0.0
139,139,0,0.0,0.0
140,140,0,0.0,0.0
141,141,10001046,0.0,0.0
142,142,10005259,0.0,10001809.5
143,143,0,0.0,10001809.5
144,144,0,0.0,10001809.5
145,145,0,0.0,10001809.5
146,146,0,0.0,10001809.5
147,147,0,0.0,10001809.5
148,148,0,0.0,2569.5
149,149,0,0.0,2569.5
150,150,0,0.0,0.0
151,151,0,0.0,0.0
152,152,0,0.0,0.0
153,153,10002644,0.0,0.0
154,154,0,0.0,0.0
155,155,0,0.0,0.0
156,156,0,0.0,0.0
157,157,0,0.0,0.0
158,158,10002043,0.0,0.0
159,159,9997444,0.0,1569.5
160,160,0,0.0,1569.5
161,161,10002926,0.0,10004495.5
162,162,0,10001046.0,3449.5
163,163,0,3449.5,0.0
164,164,0,0.0,0.0
165,165,0,0.0,0.0
166,166,0,0.0,0.0
167,167,0,0.0,0.0
168,168,0,0.0,0.0
169,169,9999240,9999240.0,0.0
170,170,0,0.0,0.0
171,171,10004142,2569.5,10001572.5
172,172,0,0.0,10001572.5
173,173,10000071,0.0,20001643.5
174,174,0,10002644.0,9998999.5
175,175,0,0.0,9998999.5
176,176,0,0.0,9998999.5
177,177,9998918,0.0,19997917.5
178,178,0,0.0,19997917.5
179,179,0,10002043.0,9995874.5
180,180,0,9995874.5,0.0
