,giorno,ndosi,second_doses,stock_values
1,1,0,0.0,0.0
2,2,0,0.0,0.0
3,3,10002397,0.0,0.0
4,4,0,0.0,0.0
5,5,0,0.0,0.0
6,6,0,0.0,0.0
7,7,0,0.0,0.0
8,8,9997364,0.0,9993250.0
9,9,0,0.0,9993250.0
10,10,0,0.0,9993250.0
11,11,0,0.0,9993250.0
12,12,0,0.0,9993250.0
13,13,0,0.0,9993250.0
14,14,0,0.0,9993250.0
15,15,0,0.0,9993250.0
16,16,0,0.0,2235.0
17,17,0,0.0,2235.0
18,18,0,0.0,2235.0
19,19,0,0.0,2235.0
20,20,10004276,0.0,10006511.0
21,21,0,0.0,10006511.0
22,22,0,0.0,10006511.0
23,23,0,0.0,10006511.0
24,24,0,10002397.0,4114.0
25,25,0,0.0,4114.0
26,26,0,0.0,4114.0
27,27,0,0.0,4114.0
28,28,0,0.0,4114.0
29,29,0,4114.0,0.0
30,30,0,0.0,0.0
31,31,0,0.0,0.0
32,32,0,0.0,0.0
33,33,0,0.0,0.0
34,34,0,0.0,0.0
35,35,0,0.0,0.0
36,36,0,0.0,0.0
37,37,10002269,9991015.0,0.0
38,38,0,0.0,0.0
39,39,9998959,0.0,0.0
40,40,0,0.0,0.0
41,41,0,0.0,0.0
42,42,0,0.0,0.0
43,43,0,0.0,0.0
44,44,10005078,0.0,4378.0
45,45,0,0.0,4378.0
46,46,0,0.0,4378.0
47,47,0,0.0,4378.0
48,48,0,0.0,1283.0
49,49,0,0.0,0.0
50,50,0,0.0,0.0
51,51,0,0.0,0.0
52,52,0,0.0,0.0
53,53,0,0.0,0.0
54,54,0,0.0,0.0
55,55,0,0.0,0.0
56,56,0,0.0,0.0
57,57,10001141,0.0,6001.0
58,58,9999740,11254.0,9994487.0
59,59,0,0.0,0.0
60,60,10001105,9998959.0,0.0
61,61,0,0.0,0.0
62,62,0,0.0,0.0
63,63,10000700,0.0,10000700.0
64,64,0,0.0,10000700.0
65,65,0,10000700.0,0.0
66,66,0,0.0,0.0
67,67,0,0.0,0.0
68,68,0,0.0,0.0
69,69,10003401,3095.0,0.0
70,70,9998242,1283.0,9996959.0
71,71,0,0.0,9996959.0
72,72,0,0.0,9996959.0
73,73,0,0.0,9996959.0
74,74,0,0.0,9996959.0
75,75,0,0.0,9996959.0
76,76,0,0.0,9996959.0
77,77,0,0.0,9996959.0
78,78,0,9995140.0,0.0
79,79,0,0.0,0.0
80,80,9996633,9994487.0,2146.0
81,81,0,2146.0,0.0
82,82,0,0.0,0.0
83,83,0,0.0,0.0
84,84,0,0.0,0.0
85,85,0,0.0,0.0
86,86,0,0.0,0.0
87,87,10000306,0.0,10000306.0
88,88,0,0.0,10000306.0
89,89,0,0.0,10000306.0
90,90,0,10000306.0,0.0
91,91,0,0.0,0.0
92,92,0,0.0,0.0
93,93,0,0.0,0.0
94,94,0,0.0,0.0
95,95,0,0.0,0.0
96,96,0,0.0,0.0
97,97,0,0.0,0.0
98,98,0,0.0,0.0
99,99,9999219,1819.0,9997400.0
100,100,0,0.0,9997400.0
101,101,0,0.0,9997400.0
102,102,0,0.0,9997400.0
103,103,9997844,0.0,9998264.0
104,104,0,0.0,0.0
105,105,0,0.0,0.0
106,106,0,0.0,0.0
107,107,0,0.0,0.0
108,108,0,0.0,0.0
109,109,0,0.0,0.0
110,110,0,0.0,0.0
111,111,0,0.0,0.0
112,112,0,0.0,0.0
113,113,0,0.0,0.0
114,114,0,0.0,0.0
115,115,0,0.0,0.0
116,116,0,0.0,0.0
117,117,0,0.0,0.0
118,118,0,0.0,0.0
119,119,0,0.0,0.0
120,120,0,0.0,0.0
121,121,0,0.0,0.0
122,122,0,0.0,0.0
123,123,0,0.0,0.0
124,124,9997480,9996980.0,0.0
125,125,9998264,9998264.0,0.0
126,126,0,0.0,0.0
127,127,0,0.0,0.0
128,128,0,0.0,0.0
129,129,0,0.0,0.0
130,130,0,0.0,0.0
131,131,0,0.0,0.0
132,132,0,0.0,0.0
133,133,0,0.0,0.0
134,134,0,0.0,0.0
135,135,0,0.0,0.0
136,136,0,0.0,0.0
137,137,0,0.0,0.0
138,138,0,0.0,0.0
139,139,0,0.0,0.0
140,140,0,0.0,0.0
141,141,0,0.0,0.0
142,142,9997474,0.0,9997474.0
143,143,0,0.0,9997474.0
144,144,0,0.0,1386.0
145,145,0,500.0,886.0
146,146,0,0.0,886.0
147,147,0,0.0,886.0
148,148,0,0.0,886.0
149,149,0,0.0,886.0
150,150,10001941,0.0,10002827.0
151,151,0,0.0,10002827.0
152,152,0,0.0,10002827.0
153,153,0,0.0,10002827.0
154,154,0,0.0,10002827.0
155,155,0,0.0,10002827.0
156,156,0,0.0,10002827.0
157,157,9998700,0.0,10002963.0
158,158,0,0.0,0.0
159,159,0,0.0,0.0
160,160,0,0.0,0.0
161,161,0,0.0,0.0
162,162,0,0.0,0.0
163,163,0,0.0,0.0
164,164,0,0.0,0.0
165,165,9996088,9996088.0,0.0
166,166,0,0.0,0.0
167,167,0,0.0,0.0
168,168,0,0.0,0.0
169,169,0,0.0,0.0
170,170,0,0.0,0.0
171,171,0,0.0,0.0
172,172,0,0.0,0.0
173,173,0,0.0,0.0
174,174,0,0.0,0.0
175,175,0,0.0,0.0
176,176,0,0.0,0.0
177,177,0,0.0,0.0
178,178,9998564,9998564.0,0.0
179,179,10002963,10002963.0,0.0
180,180,0,0.0,0.0
