,giorno,ndosi,second_doses,stock_values
1,1,0,0.0,0.0
2,2,0,0.0,0.0
3,3,10001227,0.0,0.0
4,4,0,0.0,0.0
5,5,9997674,0.0,0.0
6,6,0,0.0,0.0
7,7,0,0.0,0.0
8,8,0,0.0,0.0
9,9,0,0.0,0.0
10,10,9997672,0.0,0.0
11,11,0,0.0,0.0
12,12,10003536,0.0,4995949.5
13,13,0,0.0,4995949.5
14,14,0,0.0,4995949.5
15,15,0,0.0,4995949.5
16,16,0,0.0,4995949.5
17,17,0,0.0,4995949.5
18,18,10002670,0.0,14998619.5
19,19,0,0.0,4996107.5
20,20,9996991,0.0,4998215.5
21,21,0,0.0,0.0
22,22,9998667,0.0,5000624.5
23,23,0,0.0,5000624.5
24,24,10000074,10001227.0,4999471.5
25,25,0,0.0,4999471.5
26,26,10004614,9997674.0,5006411.5
27,27,0,0.0,5006411.5
28,28,9998847,0.0,15005258.5
29,29,0,0.0,15005258.5
30,30,0,0.0,15005258.5
31,31,0,9997672.0,5007586.5
32,32,0,0.0,5007586.5
33,33,0,5007586.5,0.0
34,34,0,0.0,0.0
35,35,0,0.0,0.0
36,36,0,0.0,0.0
37,37,0,0.0,0.0
38,38,0,0.0,0.0
39,39,0,0.0,0.0
40,40,10002512,10002512.0,0.0
41,41,9994883,9994883.0,0.0
42,42,9999570,4998215.5,4998042.5
43,43,0,4998042.5,0.0
44,44,0,0.0,0.0
45,45,0,0.0,0.0
46,46,0,0.0,0.0
47,47,0,0.0,0.0
48,48,0,0.0,0.0
49,49,0,0.0,0.0
50,50,0,0.0,0.0
51,51,0,0.0,0.0
52,52,0,0.0,0.0
53,53,0,0.0,0.0
54,54,9999542,0.0,9999542.0
55,55,0,0.0,9999542.0
56,56,0,0.0,9999542.0
57,57,10005253,0.0,20004795.0
58,58,0,0.0,20004795.0
59,59,0,0.0,9999698.0
60,60,0,0.0,9999698.0
61,61,10002675,0.0,20002373.0
62,62,0,0.0,20002373.0
63,63,0,3312.0,19999061.0
64,64,0,0.0,9997782.0
65,65,0,0.0,9997782.0
66,66,0,0.0,0.0
67,67,0,0.0,0.0
68,68,0,0.0,0.0
69,69,0,0.0,0.0
70,70,0,0.0,0.0
71,71,0,0.0,0.0
72,72,0,0.0,0.0
73,73,0,0.0,0.0
74,74,0,0.0,0.0
75,75,0,0.0,0.0
76,76,0,0.0,0.0
77,77,0,0.0,0.0
78,78,0,0.0,0.0
79,79,0,0.0,0.0
80,80,10005097,10005097.0,0.0
81,81,0,0.0,0.0
82,82,0,0.0,0.0
83,83,0,0.0,0.0
84,84,0,0.0,0.0
85,85,10001279,10001279.0,0.0
86,86,0,0.0,0.0
87,87,10002010,9997782.0,4228.0
88,88,9996342,0.0,0.0
89,89,0,0.0,0.0
90,90,0,0.0,0.0
91,91,0,0.0,0.0
92,92,0,0.0,0.0
93,93,0,0.0,0.0
94,94,0,0.0,0.0
95,95,0,0.0,0.0
96,96,0,0.0,0.0
97,97,0,0.0,0.0
98,98,0,0.0,0.0
99,99,0,0.0,0.0
100,100,0,0.0,0.0
101,101,0,0.0,0.0
102,102,0,0.0,0.0
103,103,0,0.0,0.0
104,104,0,0.0,0.0
105,105,0,0.0,0.0
106,106,0,0.0,0.0
107,107,0,0.0,0.0
108,108,0,0.0,0.0
109,109,10000570,10000570.0,0.0
110,110,0,0.0,0.0
111,111,0,0.0,0.0
112,112,0,0.0,0.0
113,113,0,0.0,0.0
114,114,0,0.0,0.0
115,115,0,0.0,0.0
116,116,0,0.0,0.0
117,117,0,0.0,0.0
118,118,0,0.0,0.0
119,119,0,0.0,0.0
120,120,0,0.0,0.0
121,121,0,0.0,0.0
122,122,0,0.0,0.0
123,123,0,0.0,0.0
124,124,0,0.0,0.0
125,125,0,0.0,0.0
126,126,0,0.0,0.0
127,127,0,0.0,0.0
128,128,0,0.0,0.0
129,129,0,0.0,0.0
130,130,0,0.0,0.0
131,131,0,0.0,0.0
132,132,0,0.0,0.0
133,133,0,0.0,0.0
134,134,0,0.0,0.0
135,135,0,0.0,0.0
136,136,10002879,0.0,0.0
137,137,0,0.0,0.0
138,138,0,0.0,0.0
139,139,0,0.0,0.0
140,140,0,0.0,0.0
141,141,0,0.0,0.0
142,142,9999797,0.0,0.0
143,143,0,0.0,0.0
144,144,10002244,0.0,408.0
145,145,0,0.0,408.0
146,146,0,0.0,408.0
147,147,0,0.0,408.0
148,148,0,0.0,408.0
149,149,0,0.0,408.0
150,150,9997073,0.0,9997481.0
151,151,10005593,0.0,20003074.0
152,152,0,0.0,20003074.0
153,153,0,0.0,20003074.0
154,154,0,0.0,20003074.0
155,155,0,0.0,20003074.0
156,156,0,0.0,20003074.0
157,157,0,10002879.0,10000195.0
158,158,0,0.0,10000195.0
159,159,0,0.0,10000195.0
160,160,0,0.0,10000195.0
161,161,0,0.0,10000195.0
162,162,0,0.0,10000195.0
163,163,0,9999797.0,398.0
164,164,10001438,0.0,10001836.0
165,165,0,10001836.0,0.0
166,166,0,0.0,0.0
167,167,0,0.0,0.0
168,168,0,0.0,0.0
169,169,0,0.0,0.0
170,170,0,0.0,0.0
171,171,0,0.0,0.0
172,172,0,0.0,0.0
173,173,0,0.0,0.0
174,174,0,0.0,0.0
175,175,0,0.0,0.0
176,176,0,0.0,0.0
177,177,0,0.0,0.0
178,178,0,0.0,0.0
179,179,0,0.0,0.0
180,180,0,0.0,0.0
