,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,9997058,0.0,0.0,0.0,0.0,0.0,0.0,9997058.0,0.0,0.0,40890144
1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40890144
2,3,10000980,0,0,10000979.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40890144
3,4,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40890144
4,5,0,0,10001554,0.0,0.0,1.0,0.0,0.0,0.0,10001554.0,0.0,0.0,40890144
5,6,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40890144
6,7,0,10004436,0,0.0,0.0,1.0,10004436.0,0.0,0.0,0.0,0.0,0.0,40890144
7,8,9999658,10000978,10000066,9999658.0,0.0,1.0,5002685.0,0.0,4998293.0,5001650.0,0.0,4998416.0,40890144
8,9,0,0,0,0.0,0.0,1.0,0.0,0.0,4998293.0,0.0,0.0,4998416.0,40890144
9,10,0,0,9999138,1.0,0.0,0.0,0.0,0.0,4998293.0,0.0,0.0,14997554.0,40890144
10,11,0,10000050,0,0.0,0.0,0.0,0.0,0.0,14998343.0,0.0,0.0,14997554.0,40890144
11,12,10002851,0,0,22.0,0.0,10002829.0,0.0,0.0,14998343.0,0.0,0.0,14997554.0,40890144
12,13,0,0,0,0.0,0.0,10002829.0,9998691.0,0.0,4999652.0,0.0,0.0,14997554.0,40890144
13,14,10000705,0,10002338,1.0,0.0,20003533.0,4999652.0,0.0,0.0,0.0,0.0,24999892.0,40890144
14,15,0,0,0,0.0,0.0,20003533.0,0.0,0.0,0.0,0.0,0.0,24999892.0,40890144
15,16,0,0,0,0.0,0.0,20003533.0,0.0,0.0,0.0,0.0,0.0,24999892.0,40890144
16,17,0,0,0,0.0,0.0,20003533.0,0.0,0.0,0.0,0.0,0.0,24999892.0,40890144
17,18,0,10000800,0,0.0,0.0,20003533.0,4994925.0,0.0,5005875.0,0.0,0.0,24999892.0,40890144
18,19,0,0,0,0.0,0.0,20003533.0,0.0,0.0,5005875.0,0.0,0.0,24999892.0,40890144
19,20,0,0,0,0.0,0.0,20003533.0,0.0,0.0,5005875.0,0.0,0.0,24999892.0,40890144
20,21,0,0,0,0.0,0.0,20003533.0,0.0,0.0,5005875.0,0.0,0.0,24999892.0,40890144
21,22,10002095,0,10001724,0.0,0.0,30005628.0,0.0,0.0,5005875.0,0.0,0.0,35001616.0,40890144
22,23,0,0,0,9998698.0,0.0,20006930.0,0.0,0.0,5005875.0,0.0,0.0,35001616.0,40890144
23,24,0,0,0,0.0,10000979.0,10005951.0,0.0,0.0,5005875.0,0.0,0.0,35001616.0,40890144
24,25,0,0,0,0.0,0.0,10005951.0,0.0,0.0,5005875.0,9998750.0,0.0,25002866.0,40890144
25,26,0,0,10001260,0.0,0.0,10005951.0,0.0,0.0,5005875.0,0.0,0.0,35004126.0,40890144
26,27,0,0,0,0.0,0.0,10005951.0,0.0,0.0,5005875.0,0.0,0.0,35004126.0,40890144
27,28,0,0,0,0.0,0.0,10005951.0,0.0,0.0,5005875.0,0.0,0.0,35004126.0,40890144
28,29,0,10001247,10002238,6292.0,9999658.0,1.0,0.0,0.0,15007122.0,0.0,0.0,45006364.0,40890144
29,30,0,0,0,0.0,0.0,1.0,1.0,0.0,15007121.0,10000144.0,0.0,35006220.0,40890144
30,31,9996413,0,0,9996390.0,1.0,23.0,0.0,0.0,15007121.0,10001011.0,0.0,25005209.0,40890144
31,32,0,0,0,0.0,0.0,23.0,0.0,0.0,15007121.0,0.0,0.0,25005209.0,40890144
32,33,0,0,0,0.0,22.0,1.0,0.0,0.0,15007121.0,0.0,0.0,25005209.0,40890144
33,34,0,0,0,0.0,0.0,1.0,0.0,0.0,15007121.0,0.0,0.0,25005209.0,40890144
34,35,0,0,0,0.0,1.0,0.0,0.0,10004436.0,5002685.0,0.0,0.0,25005209.0,40890144
35,36,0,0,0,0.0,0.0,0.0,0.0,5002685.0,0.0,0.0,0.0,25005209.0,40890144
36,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10002945.0,0.0,15002264.0,40890144
37,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15002264.0,40890144
38,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15002264.0,40890144
39,40,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15002264.0,40890144
40,41,0,9998692,0,0.0,0.0,0.0,1.0,9998691.0,0.0,9997763.0,0.0,5004501.0,40890144
41,42,0,9994578,0,0.0,0.0,0.0,0.0,4999652.0,4994926.0,0.0,0.0,5004501.0,40890144
42,43,0,0,10001697,0.0,0.0,0.0,0.0,0.0,4994926.0,0.0,0.0,15006198.0,40890144
43,44,9998699,0,0,1.0,9998698.0,0.0,0.0,0.0,4994926.0,0.0,0.0,15006198.0,40890144
44,45,0,0,0,0.0,0.0,0.0,0.0,0.0,4994926.0,0.0,0.0,15006198.0,40890144
45,46,0,0,10001702,0.0,0.0,0.0,0.0,4994925.0,1.0,0.0,0.0,25007900.0,40890144
46,47,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25007900.0,40890144
47,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25007900.0,40890144
48,49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25007900.0,40890144
49,50,10003077,0,9997101,394.0,6292.0,9996391.0,0.0,0.0,0.0,9996134.0,0.0,25008867.0,40890144
50,51,0,0,9994905,0.0,0.0,9996391.0,0.0,0.0,0.0,0.0,0.0,35003772.0,40890144
51,52,0,0,0,0.0,9996390.0,1.0,0.0,0.0,0.0,0.0,0.0,35003772.0,40890144
52,53,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35003772.0,40890144
53,54,9997201,0,9998041,9997202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45001813.0,40890144
54,55,10004674,9999159,10001667,5805.0,0.0,9998869.0,9999159.0,0.0,0.0,9999816.0,0.0,45003664.0,40890144
55,56,0,0,0,0.0,0.0,9998869.0,0.0,0.0,0.0,9993855.0,0.0,35009809.0,40890144
56,57,0,0,0,0.0,0.0,9998869.0,0.0,0.0,0.0,0.0,0.0,35009809.0,40890144
57,58,0,9996871,0,0.0,0.0,9998869.0,9996870.0,1.0,0.0,0.0,0.0,35009809.0,40890144
58,59,0,0,0,0.0,0.0,9998869.0,0.0,0.0,0.0,0.0,0.0,35009809.0,40890144
59,60,0,0,0,0.0,0.0,9998869.0,0.0,0.0,0.0,0.0,0.0,35009809.0,40890144
60,61,0,0,0,0.0,0.0,9998869.0,0.0,0.0,0.0,0.0,0.0,35009809.0,40890144
61,62,0,0,0,0.0,0.0,9998869.0,0.0,0.0,0.0,0.0,0.0,35009809.0,40890144
62,63,0,10003940,0,0.0,0.0,9998869.0,9999690.0,0.0,4250.0,0.0,0.0,35009809.0,40890144
63,64,0,0,0,0.0,0.0,9998869.0,0.0,0.0,4250.0,0.0,0.0,35009809.0,40890144
64,65,0,0,0,0.0,1.0,9998868.0,0.0,0.0,4250.0,0.0,0.0,35009809.0,40890144
65,66,0,0,0,0.0,0.0,9998868.0,0.0,0.0,4250.0,10000924.0,0.0,25008885.0,40890144
66,67,0,10001314,0,0.0,0.0,9998868.0,10003331.0,0.0,2233.0,0.0,0.0,25008885.0,40890144
67,68,0,0,0,0.0,0.0,9998868.0,2232.0,0.0,1.0,0.0,0.0,25008885.0,40890144
68,69,0,0,0,3889.0,0.0,9994979.0,0.0,1.0,0.0,0.0,0.0,25008885.0,40890144
69,70,0,0,0,9994585.0,0.0,394.0,0.0,0.0,0.0,10003583.0,0.0,15005302.0,40890144
70,71,0,10004237,0,0.0,394.0,0.0,10004236.0,0.0,1.0,10000367.0,0.0,5004935.0,40890144
71,72,0,0,10002274,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15007209.0,40890144
72,73,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15007209.0,40890144
73,74,0,10002459,0,0.0,0.0,0.0,10002459.0,0.0,1.0,0.0,0.0,15007209.0,40890144
74,75,10003007,9996088,9999975,0.0,9997202.0,5805.0,9996088.0,1.0,0.0,0.0,0.0,25007184.0,40890144
75,76,0,0,0,0.0,5805.0,0.0,0.0,0.0,0.0,0.0,0.0,25007184.0,40890144
76,77,0,0,9993962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35001146.0,40890144
77,78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35001146.0,40890144
78,79,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9997058.0,25004088.0,40890144
79,80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25004088.0,40890144
80,81,0,0,10001264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35005352.0,40890144
81,82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35005352.0,40890144
82,83,0,10006267,0,0.0,0.0,0.0,6943.0,9999159.0,165.0,0.0,10001554.0,25003798.0,40890144
83,84,0,0,0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,25003798.0,40890144
84,85,0,0,0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,25003798.0,40890144
85,86,0,9997985,0,0.0,0.0,0.0,0.0,9996870.0,1280.0,0.0,5001650.0,20002148.0,40890144
86,87,0,0,0,0.0,0.0,0.0,0.0,0.0,1280.0,0.0,0.0,20002148.0,40890144
87,88,0,0,0,0.0,0.0,0.0,0.0,0.0,1280.0,0.0,0.0,20002148.0,40890144
88,89,0,0,0,0.0,0.0,0.0,0.0,0.0,1280.0,0.0,0.0,20002148.0,40890144
89,90,10001190,0,0,9997300.0,3889.0,1.0,0.0,0.0,1280.0,0.0,0.0,20002148.0,40890144
90,91,9994584,9998411,0,0.0,9994585.0,0.0,1.0,9999690.0,0.0,0.0,0.0,20002148.0,40890144
91,92,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20002148.0,40890144
92,93,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20002148.0,40890144
